,id,abstract,keys,#tokens,#keys
11,15,Optimal and safe ship control as a multi-step matrix game The paper describes the process of the safe ship control in a collision situation using a differential game model with j participants. As an approximated model of the manoeuvring process a model of a multi-step matrix game is adopted here. RISKTRAJ computer program is designed in the Matlab language in order to determine the ship's trajectory as a certain sequence of manoeuvres executed by altering the course and speed in the online navigator decision support system. These considerations are illustrated with examples of a computer simulation of the safe ship's trajectories in real situation at sea when passing twelve of the encountered objects,"['ship control', 'collision avoidance', 'RISKTRAJ computer program', 'multistep matrix game', 'trajectory tracking', 'differential game', 'optimal control', 'decision support system', 'online navigation', 'collision avoidance', 'computerised navigation', 'decision support systems', 'differential games', 'optimal control', 'path planning', 'real-time systems', 'ships']",113,17
12,16,Dual nature of mass multi-agent systems Dual nature of mass multi-agent systems mMAS emerging as an internal discord of two spheres  micro virtual consisting of agents and their internal phenomena and macro arising at the interface to the real world stems the necessity of a new approach to analysis design and utilisation of such systems. Based on the concept of VR decomposition the problem of management of such systems is discussed. As a sub-type that makes mMAS closer to the application sphere an evolutionary multi-agent system EMAS is proposed. EMAS combines features of mMAS with advantages of an evolutionary model of computation. As an illustration of this consideration two particular EMAS are presented which allow us to obtain promising results in the fields of multiobjective optimisation and time-series prediction and thus justify the approach,"['mass multiple agent systems', 'VR decomposition', 'virtual reality', 'multiobjective optimisation', 'time-series prediction', 'micro-macro link', 'formal model', 'evolutionary multiple agent system', 'forecasting theory', 'multi-agent systems', 'optimisation', 'time series', 'virtual reality']",134,13
13,17,Fault diagnosis and fault tolerant control of linear stochastic systems with unknown inputs This paper presents an integrated robust fault detection and isolation FDI and fault tolerant control FTC scheme for a fault in actuators or sensors of linear stochastic systems subjected to unknown inputs disturbances). As usual in this kind of works it is assumed that single fault occurs at a time and the fault treated is of random bias type. The FDI module is constructed using banks of robust two-stage Kalman filters which simultaneously estimate the state and the fault bias and generate residual sets decoupled from unknown disturbances. All elements of residual sets are evaluated by using a hypothesis statistical test and the fault is declared according to the prepared decision logic. The FTC module is activated based on the fault indicator and additive compensation signal is computed using the fault bias estimate and combined to the nominal control law for compensating the fault's effect on the system. Simulation results for the simplified longitudinal flight control system with parameter variations process and measurement noises demonstrate the effectiveness of the approach proposed,"['fault detection', 'fault isolation', 'fault tolerant control', 'linear systems', 'stochastic systems', 'two-stage Kalman filters', 'state estimation', 'longitudinal flight control system', 'robust control', 'discrete-time system', 'discrete time systems', 'fault diagnosis', 'fault tolerance', 'Kalman filters', 'linear systems', 'robust control', 'state estimation', 'stochastic systems']",184,18
14,18,Differential and integral calculus on discrete time series data It has been found that discontinuity plays a crucial role in natural evolutions Lin 1998). In this presentation we will generalize the idea of integration and differentiation we developed in calculus to the study of time series in the hope that the problem of outliers and discontinuities can be resolved more successfully than simply deleting the outliers and avoiding discontinuities from the overall data analysis. In general appearances of outliers tend to mean existence of discontinuities explosive growth or decline in the evolution. At the same time our approach can be employed to partially overcome the problem of not having enough data values in any available time series. At the end we will look at some real-life problems of prediction in order to see the power of this new approach,"['natural evolutions', 'integration', 'differentiation', 'time series', 'outliers', 'prediction', 'calculus', 'time series']",139,8
15,19,Decentralized adaptive output feedback stabilization for a class of interconnected systems with unknown bound of uncertainties The problem of adaptive decentralized stabilization for a class of linear time-invarying large-scale systems with nonlinear interconnectivity and uncertainties is discussed. The bounds of uncertainties are assumed to be unknown. For such uncertain dynamic systems an adaptive decentralized controller is presented. The resulting closed-loop systems are asymptotically stable in theory. Moreover an adaptive decentralized control scheme is given. The scheme ensures the closed-loop systems exponentially practically stable and can be used in practical engineering. Finally simulations show that the control scheme is effective,"['adaptive decentralized stabilization', 'closed-loop systems', 'uncertain dynamic systems', 'robust control', 'large scale systems', 'adaptive systems', 'closed loop systems', 'interconnected systems', 'large-scale systems', 'state feedback', 'uncertain systems']",99,11
16,20,Adaptive state feedback control for a class of linear systems with unknown bounds of uncertainties The problem of adaptive robust stabilization for a class of linear time-varying systems with disturbance and nonlinear uncertainties is considered. The bounds of the disturbance and uncertainties are assumed to be unknown being even arbitrary. For such uncertain dynamical systems the adaptive robust state feedback controller is obtained. And the resulting closed-loop systems are asymptotically stable in theory. Moreover an adaptive robust state feedback control scheme is given. The scheme ensures the closed-loop systems exponentially practically stable and can be used in practical engineering. Finally simulations show that the control scheme is effective,"['robust stabilization', 'adaptive stabilization', 'linear time-varying systems', 'nonlinear uncertainties', 'closed-loop systems', 'uncertain dynamical systems', 'state feedback', 'adaptive controller', 'robust control', 'uncertain systems', 'adaptive systems', 'linear systems', 'robust control', 'state feedback', 'time-varying systems', 'uncertain systems']",108,16
17,21,Discrete output feedback sliding mode control of second order systems  a moving switching line approach The sliding mode control systems SMCS for which the switching variable is designed independent of the initial conditions are known to be sensitive to parameter variations and extraneous disturbances during the reaching phase. For second order systems this drawback is eliminated by using the moving switching line technique where the switching line is initially designed to pass the initial conditions and is subsequently moved towards a predetermined switching line. In this paper we make use of the above idea of moving switching line together with the reaching law approach to design a discrete output feedback sliding mode control. The main contributions of this work are such that we do not require to use system states as it makes use of only the output samples for designing the controller. and by using the moving switching line a low sensitivity system is obtained through shortening the reaching phase. Simulation results show that the fast output sampling feedback guarantees sliding motion similar to that obtained using state feedback,"['sliding mode control', 'switching variable', 'parameter variations', 'moving switching line', 'discrete output feedback', 'fast output sampling feedback', 'state feedback', 'state feedback', 'variable structure systems']",180,9
18,22,Analyzing the benefits of 300 mm conveyor-based AMHS While the need for automation in 300 mm fabs is not debated the form and performance of such automation is still in question. Software simulation that compares conveyor-based continuous flow transport technology to conventional car-based wafer-lot delivery has detailed delivery time and throughput advantages to the former,"['software simulation', 'car-based wafer-lot delivery', 'conveyor-based continuous flow transport technology', 'automated material handling system', 'semiconductor fab', 'throughput', 'wafer processing', 'delivery time', '300 mm', 'conveyors', 'semiconductor device manufacture']",55,11
19,23,Absorption of long waves by nonresonant parametric microstructures Using simple acoustical and mechanical models we consider the conceptual possibility of designing an active absorbing nonreflecting coating in the form of a thin layer with small-scale stratification and fast time modulation of parameters. Algorithms for space-time modulation of the controlled-layer structure are studied in detail for a one-dimensional boundary-value problem. These algorithms do not require wave-field measurements which eliminates the self-excitation problem that is characteristic of active systems. The majority of the considered algorithms of parametric control transform the low-frequency incident wave to high-frequency waves of the technological band for which the waveguiding medium inside the layer is assumed to be opaque absorbing). The efficient use conditions are found for all the algorithms. It is shown that the absorbing layer can be as thin as desired with respect to the minimum spatial scale of the incident wave and ensures efficient absorption in a wide frequency interval starting from zero frequency that is bounded from above only by a finite space-time resolution of the parameter-control operations. The structure of a three-dimensional parametric black coating whose efficiency is independent of the angle of incidence of an incoming wave is developed on the basis of the studied one-dimensional problems. The general solution of the problem of diffraction of incident waves from such a coating is obtained. This solution is analyzed in detail for the case of a disk-shaped element,"['acoustical models', 'mechanical models', 'active absorbing coating', 'nonreflecting coating', 'thin layer', 'small-scale stratification', 'fast time modulation', 'space-time modulation', 'controlled-layer structure', 'one-dimensional boundary-value problem', 'parametric control', 'low-frequency incident wave', 'high-frequency waves', 'waveguiding medium', 'absorbing layer', 'angle of incidence', 'one-dimensional problems', 'diffraction', 'disk-shaped element', 'acoustic parametric devices', 'acoustic wave absorption', 'active noise control', 'antireflection coatings', 'boundary-value problems']",235,24
20,24,Fuzzy modeling based on generalized conjunction operations An approach to fuzzy modeling based on the tuning of parametric conjunction operations is proposed. First some methods for the construction of parametric generalized conjunction operations simpler than the known parametric classes of conjunctions are considered and discussed. Second several examples of function approximation by fuzzy models based on the tuning of the parameters of the new conjunction operations are given and their approximation performances are compared with the approaches based on a tuning of membership functions and other approaches proposed in the literature. It is seen that the tuning of the conjunction operations can be used for obtaining fuzzy models with a sufficiently good performance when the tuning of membership functions is not possible or not desirable,"['fuzzy modeling', 'generalized conjunction operations', 'function approximation', 'tuning', 'approximation performances', 'membership functions', 't-norm', 'fuzzy inference systems', 'function approximation', 'fuzzy logic', 'fuzzy set theory', 'fuzzy systems', 'modelling', 'tuning']",125,14
21,25,Identification of evolving fuzzy rule-based models An approach to identification of evolving fuzzy rule-based eR models is proposed. eR models implement a method for the noniterative update of both the rule-base structure and parameters by incremental unsupervised learning. The rule-base evolves by adding more informative rules than those that previously formed the model. In addition existing rules can be replaced with new rules based on ranking using the informative potential of the data. In this way the rule-base structure is inherited and updated when new informative data become available rather than being completely retrained. The adaptive nature of these evolving rule-based models in combination with the highly transparent and compact form of fuzzy rules makes them a promising candidate for modeling and control of complex processes competitive to neural networks. The approach has been tested on a benchmark problem and on an air-conditioning component modeling application using data from an installation serving a real building. The results illustrate the viability and efficiency of the approach,"['evolving fuzzy rule-based models', 'identification', 'noniterative update', 'rule-base structure', 'incremental unsupervised learning', 'ranking', 'informative potential', 'fuzzy rules', 'complex processes', 'air-conditioning component modeling', 'adaptive nonlinear control', 'fault detection', 'fault diagnostics', 'performance analysis', 'forecasting', 'knowledge extraction', 'robotics', 'behavior modeling', 'fuzzy logic', 'fuzzy set theory', 'identification', 'modelling', 'unsupervised learning']",165,23
22,26,Learning weights for the quasi-weighted means We study the determination of weights for quasi-weighted means also called quasi-linear means when a set of examples is given. We consider first a simple case the learning of weights for weighted means and then we extend the approach to the more general case of a quasi-weighted mean. We consider the case of a known arbitrary generator f. The paper finishes considering the use of parametric functions that are suitable when the values to aggregate are measure values or ratio,"['quasi-weighted means', 'quasi-linear means', 'learning', 'parametric functions', 'measure values', 'ratio values', 'learning (artificial intelligence)', 'matrix algebra', 'minimisation']",86,9
23,27,A formal model of computing with words Classical automata are formal models of computing with values. Fuzzy automata are generalizations of classical automata where the knowledge about the system's next state is vague or uncertain. It is worth noting that like classical automata fuzzy automata can only process strings of input symbols. Therefore such fuzzy automata are still abstract devices for computing with values although a certain vagueness or uncertainty are involved in the process of computation. We introduce a new kind of fuzzy automata whose inputs are instead strings of fuzzy subsets of the input alphabet. These new fuzzy automata may serve as formal models of computing with words. We establish an extension principle from computing with values to computing with words. This principle indicates that computing with words can be implemented with computing with values with the price of a big amount of extra computations,"['formal model', 'computing with words', 'fuzzy automata', 'fuzzy subsets', 'input alphabet', 'extension principle', 'pushdown automata', 'finite automata', 'formal languages', 'fuzzy logic']",147,10
24,28,Uncertainty bounds and their use in the design of interval type-2 fuzzy logic systems We derive inner and outer-bound sets for the type-reduced set of an interval type-2 fuzzy logic system FLS based on a new mathematical interpretation of the Karnik-Mendel iterative procedure for computing the type-reduced set. The bound sets can not only provide estimates about the uncertainty contained in the output of an interval type-2 FLS but can also be used to design an interval type-2 FLS. We demonstrate by means of a simulation experiment that the resulting system can operate without type-reduction and can achieve similar performance to one that uses type-reduction. Therefore our new design method based on the bound sets can relieve the computation burden of an interval type-2 FLS during its operation which makes an interval type-2 FLS useful for real-time applications,"['uncertainty bounds', 'interval type-2 fuzzy logic systems', 'inner-bound sets', 'outer-bound sets', 'type-reduced set', 'Karnik-Mendel iterative procedure', 'real-time applications', 'time-series forecasting', 'forecasting theory', 'fuzzy logic', 'fuzzy set theory', 'fuzzy systems', 'iterative methods', 'probability', 'time series', 'uncertain systems']",138,16
25,29,Fuzzy polynomial neural networks hybrid architectures of fuzzy modeling We introduce a concept of fuzzy polynomial neural networks FPNNs a hybrid modeling architecture combining polynomial neural networks PNNs and fuzzy neural networks FNNs). The development of the FPNNs dwells on the technologies of computational intelligence CI namely fuzzy sets neural networks and genetic algorithms. The structure of the FPNN results from a synergistic usage of FNN and PNN. FNNs contribute to the formation of the premise part of the rule-based structure of the FPNN. The consequence part of the FPNN is designed using PNNs. The structure of the PNN is not fixed in advance as it usually takes place in the case of conventional neural networks but becomes organized dynamically to meet the required approximation error. We exploit a group method of data handling GMDH to produce this dynamic topology of the network. The performance of the FPNN is quantified through experimentation that exploits standard data already used in fuzzy modeling. The obtained experimental results reveal that the proposed networks exhibit high accuracy and generalization capabilities in comparison to other similar fuzzy models,"['fuzzy polynomial neural networks', 'hybrid architectures', 'fuzzy modeling', 'highly nonlinear rule-based models', 'computational intelligence', 'fuzzy sets', 'genetic algorithms', 'group method of data handling', 'GMDH', 'dynamic topology', 'fuzzy inference method', 'learning', 'standard backpropagation', 'membership functions', 'learning rates', 'momentum coefficients', 'genetic optimization', 'backpropagation', 'fuzzy logic', 'fuzzy neural nets', 'genetic algorithms', 'identification', 'inference mechanisms', 'modelling']",183,24
26,30,Improvements and critique on Sugeno's and Yasukawa's qualitative modeling Investigates Sugeno's and Yasukawa's 1993 qualitative fuzzy modeling approach. We propose some easily implementable solutions for the unclear details of the original paper such as trapezoid approximation of membership functions rule creation from sample data points and selection of important variables. We further suggest an improved parameter identification algorithm to be applied instead of the original one. These details are crucial concerning the method's performance as it is shown in a comparative analysis and helps to improve the accuracy of the built-up model. Finally we propose a possible further rule base reduction which can be applied successfully in certain cases. This improvement reduces the time requirement of the method by up to 16 in our experiments,"['qualitative modeling', 'fuzzy modeling', 'trapezoid approximation', 'membership functions', 'rule creation', 'parameter identification algorithm', 'rule base reduction', 'Sugeno-Yasukawa method', 'function approximation', 'fuzzy logic', 'fuzzy set theory', 'modelling', 'parameter estimation']",125,13
27,31,Adaptive neural/fuzzy control for interpolated nonlinear systems Adaptive control for nonlinear time-varying systems is of both theoretical and practical importance. We propose an adaptive control methodology for a class of nonlinear systems with a time-varying structure. This class of systems is composed of interpolations of nonlinear subsystems which are input-output feedback linearizable. Both indirect and direct adaptive control methods are developed where the spatially localized models in the form of Takagi-Sugeno fuzzy systems or radial basis function neural networks are used as online approximators to learn the unknown dynamics of the system. Without assumptions on rate of change of system dynamics the proposed adaptive control methods guarantee that all internal signals of the system are bounded and the tracking error is asymptotically stable. The performance of the adaptive controller is demonstrated using a jet engine control problem,"['adaptive neural/fuzzy control', 'interpolated nonlinear systems', 'time-varying systems', 'input-output feedback linearizable systems', 'indirect control', 'direct control', 'spatially localized models', 'Takagi-Sugeno fuzzy systems', 'radial basis function neural networks', 'online approximators', 'unknown dynamics', 'tracking error', 'jet engine control', 'stability analysis', 'adaptive control', 'aerospace engines', 'asymptotic stability', 'fuzzy control', 'neurocontrollers', 'nonlinear control systems', 'radial basis function networks', 'time-varying systems']",137,22
28,32,Analysis and efficient implementation of a linguistic fuzzy c-means The paper is concerned with a linguistic fuzzy c-means FCM algorithm with vectors of fuzzy numbers as inputs. This algorithm is based on the extension principle and the decomposition theorem. It turns out that using the extension principle to extend the capability of the standard membership update equation to deal with a linguistic vector has a huge computational complexity. In order to cope with this problem an efficient method based on fuzzy arithmetic and optimization has been developed and analyzed. We also carefully examine and prove that the algorithm behaves in a way similar to the FCM in the degenerate linguistic case. Synthetic data sets and the iris data set have been used to illustrate the behavior of this linguistic version of the FCM,"['linguistic fuzzy c-means algorithm', 'fuzzy numbers', 'extension principle', 'decomposition theorem', 'computational complexity', 'fuzzy arithmetic', 'optimization', 'linguistic vectors', 'computational complexity', 'fuzzy logic', 'fuzzy set theory', 'pattern recognition', 'vectors']",133,13
29,33,Fuzzy control of multivariable process by modified error decoupling In this paper a control concept for the squared equal number of inputs and outputs multivariable process systems is given. The proposed control system consists of two parts single loop fuzzy controllers in each loop and a centralized decoupling unit. The fuzzy control system uses feedback control to minimize the error in the loop and the decoupler uses an adaptive technique to mitigate loop interactions. The decoupler predicts the interacting loop changes and modifies the input error of the loop controller. The controller was tested on the simulation model of single component vaporizer process,"['multivariable process', 'modified error decoupling', 'squared multivariable process systems', 'square multivariable process systems', 'single-loop fuzzy controllers', 'centralized decoupling unit', 'feedback control', 'error minimization', 'loop interaction mitigation', 'single component vaporizer process', 'set point changes', 'load changes', 'adaptive control', 'feedback', 'fuzzy control', 'multivariable control systems', 'optimal control', 'process control']",103,18
30,34,Design of PID-type controllers using multiobjective genetic algorithms The design of a PID controller is a multiobjective problem. A plant and a set of specifications to be satisfied are given. The designer has to adjust the parameters of the PID controller such that the feedback interconnection of the plant and the controller satisfies the specifications. These specifications are usually competitive and any acceptable solution requires a tradeoff among them. An approach for adjusting the parameters of a PID controller based on multiobjective optimization and genetic algorithms is presented in this paper. The MRCD multiobjective robust control design genetic algorithm has been employed. The approach can be easily generalized to design multivariable coupled and decentralized PID loops and has been successfully validated for a large number of experimental cases,"['PID-type controllers', 'multiobjective genetic algorithms', 'feedback interconnection', 'multiobjective robust control design', 'multivariable coupled PID loops', 'decentralized PID loops', 'tuning methods', 'closed loop systems', 'control system synthesis', 'genetic algorithms', 'robust control', 'three-term control', 'transfer function matrices']",128,13
31,35,Fusion of qualitative bond graph and genetic algorithms A fault diagnosis application In this paper the problem of fault diagnosis via integration of genetic algorithms GA's and qualitative bond graphs QBG's is addressed. We suggest that GA's can be used to search for possible fault components among a system of qualitative equations. The QBG is adopted as the modeling scheme to generate a set of qualitative equations. The qualitative bond graph provides a unified approach for modeling engineering systems in particular mechatronic systems. In order to demonstrate the performance of the proposed algorithm we have tested the proposed algorithm on an in-house designed and built floating disc experimental setup. Results from fault diagnosis in the floating disc system are presented and discussed. Additional measurements will be required to localize the fault when more than one fault candidate is inferred. Fault diagnosis is activated by a fault detection mechanism when a discrepancy between measured abnormal behavior and predicted system behavior is observed. The fault detection mechanism is not presented here,"['qualitative bond graph', 'genetic algorithms', 'fault diagnosis', 'fault components', 'qualitative equations', 'engineering systems', 'mechatronic systems', 'floating disc', 'measured abnormal behavior', 'predicted system behavior', 'bond graphs', 'fault diagnosis', 'genetic algorithms', 'search problems']",169,14
32,36,Model predictive control helps to regulate slow processes-robust barrel temperature control Slow temperature control is a challenging control problem. The problem becomes even more challenging when multiple zones are involved such as in barrel temperature control for extruders. Often strict closed-loop performance requirements such as fast startup with no overshoot and maintaining tight temperature control during production are given for such applications. When characteristics of the system are examined it becomes clear that a commonly used proportional plus integral plus derivative PID controller cannot meet such performance specifications for this kind of system. The system either will overshoot or not maintain the temperature within the specified range during the production run. In order to achieve the required performance a control strategy that utilizes techniques such as model predictive control autotuning and multiple parameter PID is formulated. This control strategy proves to be very effective in achieving the desired specifications and is very robust,"['model predictive control', 'slow processes regulation', 'robust barrel temperature control', 'extruders', 'autotuning', 'multiple parameter PID', 'extrusion', 'moulding', 'predictive control', 'robust control', 'temperature control', 'three-term control', 'tuning']",153,13
33,37,Design PID controllers for desired time-domain or frequency-domain response Practical requirements on the design of control systems especially process control systems are usually specified in terms of time-domain response such as overshoot and rise time or frequency-domain response such as resonance peak and stability margin. Although numerous methods have been developed for the design of the proportional-integral-derivative PID controller little work has been done in relation to the quantitative time-domain and frequency-domain responses. In this paper we study the following problem Given a nominal stable process with time delay we design a suboptimal PID controller to achieve the required time-domain response or frequency-domain response for the nominal system or the uncertain system. An H/sub infinity  PID controller is developed based on optimal control theory and the parameters are derived analytically. Its properties are investigated and compared with that of two developed suboptimal controllers an H/sub 2 PID controller and a Maclaurin PID controller,"['time-domain response', 'frequency-domain response', 'process control systems', 'overshoot', 'rise time', 'resonance peak', 'stability margin', 'proportional-integral derivative controller', 'nominal stable process', 'suboptimal controller', 'H/sub infinity / PID controller', 'H/sub 2/ PID controller', 'optimal control', 'Maclaurin PID controller', 'control system synthesis', 'frequency-domain synthesis', 'H/sup infinity / control', 'stability', 'suboptimal control', 'three-term control', 'time-domain synthesis']",153,21
34,38,A PID standard What why how The paper is written for all who develop and use P&IDs. It will aid in solving the long existing and continuing problem of confusing information on P&IDs. The acronym P&ID is widely understood to mean the principal document used to define the details of how a process works and how it is controlled. The ISA Dictionary definition for P&ID tells what they do show the interconnection of process equipment and the instrumentation used to control the process. In the process industry a standard set of symbols is used to prepare drawings of processes. The instrument symbols used in these drawings are generally based on ISA-S5.1. In the paper the ISA standard is referred to as ISA-5.1. The article develops the concept of the standard and poses some of the questions that the standard can answer,"['P&ID standard', 'principal document', 'process controlled', 'ISA-5.1', 'ISA standard', 'diagrams', 'instrumentation', 'process control', 'safety', 'standardisation', 'standards']",141,11
35,39,Supervisory control design based on hybrid systems and fuzzy events detection. Application to an oxichlorination reactor This paper presents a supervisory control scheme based on hybrid systems theory and fuzzy events detection. The fuzzy event detector is a linguistic model which synthesizes complex relations between process variables and process events incorporating experts knowledge about the process operation. This kind of detection allows the anticipation of appropriate control actions which depend upon the selected membership functions used to characterize the process under scrutiny. The proposed supervisory control scheme was successfully implemented for an oxichlorination reactor in a vinyl monomer plant,"['supervisory control design', 'hybrid systems', 'events detection. fuzzy', 'oxichlorination reactor', 'linguistic model', 'complex relations', 'process variables', 'process events', 'expert knowledge', 'process operation', 'control actions', 'membership functions', 'vinyl monomer plant', 'reactor stability', 'raw material consumption', 'discrete events systems', 'reactive systems', 'finite state machines', 'chemical technology', 'continuous time systems', 'control system synthesis', 'discrete event systems', 'finite state machines', 'fuzzy control', 'fuzzy set theory', 'identification', 'process control']",99,27
36,40,New tuning method for PID controller In this paper a tuning method for proportional-integral-derivative PID controller and the performance assessment formulas for this method are proposed. This tuning method is based on a genetic algorithm based PID controller design method. For deriving the tuning formula the genetic algorithm based design method is applied to design PID controllers for a variety of processes. The relationship between the controller parameters and the parameters that characterize the process dynamics are determined and the tuning formula is then derived. Using simulation studies the rules for assessing the performance of a PID controller tuned by the proposed method are also given. This makes it possible to incorporate the capability to determine if the PID controller is well tuned or not into an autotuner. An autotuner based on this new tuning method and the corresponding performance assessment rules is also established. Simulations and real-time experimental results are given to demonstrate the effectiveness and usefulness of these formulas,"['tuning method', 'PID controller', 'proportional-integral-derivative controller', 'genetic algorithm', 'controller design method', 'process dynamics', 'autotuner', 'control system analysis', 'control system synthesis', 'genetic algorithms', 'three-term control', 'tuning']",161,12
