,id,abstract,keys,#tokens,#keys
10,11,We bridge the gap between functional evaluators and abstract machines for the calculus using closure conversion transformation into continuation-passing style and defunctionalization. We illustrate this approach by deriving Krivine's abstract machine from an ordinary call-by-name evaluator and by deriving an ordinary call-by-value evaluator from Felleisen et al.'s CEK machine. The first derivation is strikingly simpler than what can be found in the literature. The second one is new. Together they show that Krivine's abstract machine and the CEK machine correspond to the call-by-name and call-by-value facets of an ordinary evaluator for the calculus. We then reveal the denotational content of Hannan and Miller's CLS machine and of Landin's SECD machine. We formally compare the corresponding evaluators and we illustrate some degrees of freedom in the design spaces of evaluators and of abstract machines for the calculus with computational effects. Finally we consider the Categorical Abstract Machine and the extent to which it is more of a virtual machine than an abstract machine,"['abstract machines', 'transformation into continuation-passing style (CPS)', 'evaluator', 'Interpreters', 'call-by-value', 'call-by-name', 'abstract machine', 'closure conversion', 'defunctionalization']",162,9
11,12,Recent computer technologies have enabled fast high-quality 3D graphics on personal computers and also have made the development of 3D graphical applications easier. However  most of such technologies do not sufficiently support layout and behavior aspects of 3D graphics. Geometric constraints are in general a powerful tool for specifying layouts and behaviors of graphical objects and have been applied to 2D graphical user interfaces and specialized 3D graphics packages. In this paper we present Chorus3D a geometric constraint library for 3D graphical applications. It enables programmers to use geometric constraints for various purposes such as geometric layout constrained dragging and inverse kinematics. Its novel feature is to handle scene graphs by processing coordinate transformations in geometric constraint satisfaction. We demonstrate the usefulness of Chorus3D by presenting sample constraint-based 3D graphical applications.,"['geometric constraints', 'behaviors', 'graphical objects', 'scene graphs', 'constraint satisfaction', 'layout', 'coordinate transformation', 'geometric layout', '3D graphical applications', '3D graphics']",131,10
12,13,"Table is a commonly used presentation scheme especially for describing relational information. However table understanding remains an open problem. In this paper we consider the problem of table detection in web documents. Its potential applications include web mining knowledge management  and web content summarization and delivery to narrow-bandwidth devices. We describe a machine learning based approach to classify each given table entity as either genuine or non-genuine . Various features re ecting the layout as well as content characteristics of tables are studied. In order to facilitate the training and evaluation of our table classi er we designed a novel web document table ground truthing protocol and used it to build a large table ground truth database. The database consists of 1,393 HTML les collected from hundreds of di erent web sites and contains 11,477 leaf lt;TABLE&gt elements out of which 1,740 are genuine tables. Experiments were conducted using the cross validation method and an F-measure of 95  89 was achieved.","['Table detection', 'presentation', 'Layout Analysis', 'Support Vector Machine', 'table ground truthing protocol', 'Machine Learning', 'Decision tree', 'Table Detection', 'Layout', 'HTML document', 'machine learning based approach', 'word group', 'Information Retrieval', 'Algorithms', 'classifers', 'content type', 'classifcation schemes']",161,17
13,14,This paper is concerned with `intranet search'. By intranet search we mean searching for information on an intranet within an organization. We have found that search needs on an intranet can be categorized into types through an analysis of survey results and an analysis of search log data. The types include searching for definitions persons experts and homepages. Traditional information retrieval only focuses on search of relevant documents but not on search of special types of information. We propose a new approach to intranet search in which we search for information in each of the special types in addition to the traditional relevance search. Information extraction technologies can play key roles in such kind of `search by type approach because we must first extract from the documents the necessary information in each type. We have developed an intranet search system called `Information Desk'. In the system we try to address the most important types of search first  finding term definitions homepages of groups or topics employees personal information and experts on topics. For each type of search we use information extraction technologies to extract fuse and summarize information in advance. The system is in operation on the intranet of Microsoft and receives accesses from about 500 employees per month. Feedbacks from users and system logs show that users consider the approach useful and the system can really help people to find information. This paper describes the architecture features component technologies and evaluation results of the system.,"['definition search', 'Intranet search', 'information retrieval', 'Search Needs', 'architecture', 'metadata extraction', 'component technologies', 'Experimentation', 'information extraction', 'types of information', 'intranet search', 'expert finding', 'Human Factors', 'features', 'Algorithms', 'INFORMATION DESK']",246,16
14,15,A new statistical formula for identifying 2-character words in Chinese text called the contextual information formula was developed empirically by performing stepwise logistic regression using a sample of sentences that had been manually segmented. Contextual information in the form of the frequency of characters that are adjacent to the bigram being processed as well as the weighted document frequency of the overlapping bigrams were found to be significant factors for predicting the probablity that the bigram constitutes a word. Local information the number of times the bigram occurs in the document being segmented and the position of the bigram in the sentence were not found to be useful in determining words. The contextual information formula was found to be significantly and substantially better than the mutual information formula in identifying 2-character words. The method can also be used for identifying multi-word terms in English text.,"['multi-word terms', 'mutual information', 'word boundary identification', 'regression model', 'Chinese text segmentation', 'contextual information', 'natural language processing', 'statistical formula', 'logistic regression', 'word boundary']",145,10
15,16,Programming languages are a part of the core of computer science. Courses on programming languages are typically offered to junior or senior students and textbooks are based on this assumption. However our computer science curriculum offers the programming languages course in the first year. This unusual situation led us to design it from an untypical approach. In this paper we first analyze and classify proposals for the programming languages course into different pure and hybrid approaches. Then we describe a course for freshmen based on four pure approaches and justify the main choices made. Finally we identify the software used for laboratories and outline our experience after teaching it for seven years.,"['programming paradigms', 'laboratory component', 'formal grammars', 'programming language course', 'recursion', 'freshmen', 'computer science', 'topics', 'Programming languages', 'language description', 'programming methodology', 'curriculum', 'functional programming']",112,13
16,17,The emergence of Bluetooth as a default radio interface allows handheld devices to be rapidly interconnected into ad hoc networks. Bluetooth allows large numbers of piconets to form a scatternet using designated nodes that participate in multiple piconets. A unit that participates in multiple piconets can serve as a bridge and forwards traffic between neighbouring piconets. Since a Bluetooth unit can transmit or receive in only one piconet at a time a bridging unit has to share its time among the different piconets. To schedule communication with bridging nodes one must take into account their availability in the different piconets which represents a difficult  scatternet wide coordination problem and can be an important performance bottleneck in building scatternets. In this paper we propose the Pseudo-Random Coordinated Scatternet Scheduling PCSS algorithm to perform the scheduling of both intra and inter-piconet communication. In this algorithm Bluetooth nodes assign meeting points with their peers such that the sequence of meeting points follows a pseudo random process that is different for each pair of nodes. The uniqueness of the pseudo random sequence guarantees that the meeting points with different peers of the node will collide only occasionally. This removes the need for explicit information exchange between peer devices which is a major advantage of the algorithm. The lack of explicit signaling between Bluetooth nodes makes it easy to deploy the PCSS algorithm in Bluetooth devices while conformance to the current Bluetooth specification is also maintained. To assess the performance of the algorithm we define two reference case schedulers and perform simulations in a number of scenarios where we compare the performance of PCSS to the performance of the reference schedulers.,"['bridging unit', 'checkpoint', 'slaves', 'threshold', 'intensity', 'piconets', 'inter-piconet communication', 'scatternet', 'total utilization', 'PCSS algorithm', 'Network Access Point', 'scheduling', 'Bluetooth']",276,13
17,18,This paper focuses on defending against compromised nodes dropping of legitimate reports and investigates the misbehavior of a maliciously packet-dropping node in sensor networks . We present a resilient packet-forwarding scheme using Neighbor Watch System NWS specifically designed for hop-by-hop reliable delivery in face of malicious nodes that drop relaying packets as well as faulty nodes that fail to relay packets. Unlike previous work with multipath data forwarding our scheme basically employs single-path data forwarding which consumes less power than multipath schemes. As the packet is forwarded along the single-path toward the base station our scheme however converts into multipath data forwarding at the location where NWS detects relaying nodes misbehavior. Simulation experiments show that with the help of NWS our forwarding scheme achieves a high success ratio in face of a large number of packet-dropping nodes and effectively adjusts its forwarding style depending on the number of packet-dropping nodes en-route to the base station.,"['Reliable Delivery', 'cluster key', 'single-path forwarding', 'Packet-dropping Attacks', 'degree of multipath', 'Secure Routing', 'Neighbor Watch System', 'robustness', 'aggregation protocols', 'Sensor Network Security', 'malicious node', 'critical area', 'secure ad-hoc network routing protocol', 'legitimate node']",155,14
18,19,Recognition of motion streams such as data streams generated by different sign languages or various captured human body motions requires a high performance similarity measure . The motion streams have multiple attributes and motion patterns in the streams can have different lengths from those of isolated motion patterns and different attributes can have different temporal shifts and variations. To address these issues this paper proposes a similarity measure based on singular value decomposition SVD of motion matrices . Eigenvector differences weighed by the corresponding eigenvalues are considered for the proposed similarity measure . Experiments with general hand gestures and human motion streams show that the proposed similarity measure gives good performance for recognizing motion patterns in the motion streams in real time.,"['segmentation', 'gesture', 'similarity measure', 'eigenvector', 'recognition', 'eigenvalue', 'motion stream', 'data streams', 'singular value decomposition', 'Pattern recognition']",122,10
19,20,Information seeking and management practices are an integral aspect of people's daily work. However we still have little understanding of collaboration in the information seeking process. Through a survey of collaborative information seeking practices of academic researchers we found that researchers reported that 1 the lack of expertise is the primary reason that they collaborate when seeking information 2 traditional methods including face-to-face phone and email are the preferred communication mediums for collaboration and 3 collaborative information seeking activities are usually successful and more useful than individually seeking information. These results begin to highlight the important role that collaborative information seeking plays in daily work.,"['Group Work', 'collaboration', 'Academic Researchers', 'Collaborative Information Seeking', 'Survey', 'communication media', 'information seeking']",105,7
20,21,Researchers have explored the design of ambient information systems across a wide range of physical and screen-based media. This work has yielded rich examples of design approaches to the problem of presenting information about a user's world in a way that is not distracting but is aesthetically pleasing and tangible to varying degrees. Despite these successes accumulating theoretical and craft knowledge has been stymied by the lack of a unified vocabulary to describe these systems and a consequent lack of a framework for understanding their design attributes. We argue that this area would significantly benefit from consensus about the design space of ambient information systems and the design attributes that define and distinguish existing approaches. We present a definition of ambient information systems and a taxonomy across four design dimensions Information Capacity Notification Level Representational Fidelity and Aesthetic Emphasis. Our analysis has uncovered four patterns of system design and points to unexplored regions of the design space which may motivate future work in the field.,"['Notification System', 'notification systems and peripheral displays', 'Ubiquitous Computing', 'multiple-information consolidators', 'ambient information system', 'Design Guidelines', 'Peripheral Display', 'definition and characteristics of ambient systems', 'Taxonomy', 'information monitor display', 'Ambient Display', 'high throughput textual display', 'four main design patterns', 'framework to understand design attributes', 'symbolic Sculptural display', 'user interface', 'calm computing']",165,17
21,22,Hidden Web databases maintain a collection of specialised documents which are dynamically generated in response to users queries. However the documents are generated by Web page templates which contain information that is irrelevant to queries. This paper presents a Two-Phase Sampling 2PS technique that detects templates and extracts query-related information from the sampled documents of a database. In the first phase 2PS queries databases with terms contained in their search interface pages and the subsequently sampled documents. This process retrieves a required number of documents. In the second phase 2PS detects Web page templates in the sampled documents in order to extract information relevant to queries. We test 2PS on a number of real-world Hidden Web databases. Experimental results demonstrate that 2PS effectively eliminates irrelevant information contained in Web page templates and generates terms and frequencies with improved accuracy.,"['Document Sampling', 'irrelavant information extraction', 'search interface pages', 'Information Extraction', 'query-based sampling', 'neighbouring adjacent tag segments', 'Hidden Web Databases', 'web page templates', 'information extraction', '2-phase sampling technique', 'string matching techniques', 'hidden web databases', 'hypertext markup langauges']",139,13
22,23,In this paper we introduce a unified approach for the adaptive control of 3G mobile networks in order to improve both quality of service QoS for mobile subscribers and to increase revenue for service providers. The introduced approach constantly monitors QoS measures as packet loss probability and the current number of active mobile users during operation of the network. Based on the values of the QoS measures just observed the system parameters of the admission controller and packet scheduler are controlled by the adaptive performance management entity. Considering UMTS we present performance curves showing that handover failure probability is improved by more than one order of magnitude. Moreover the packet loss probability can be effectively regulated to a predefined level and provider revenue is significantly increased for all pricing policies.,"['pricing and revenue optimization', 'QoS', 'admission control', '3G mobile networks', 'Quality of Service in mobile systems', 'packet loss probability', 'adaptive performance management', 'provider revenue', 'packet scheduler', 'performance evaluation of next generation mobile systems', 'pricing policy', 'admission control in mobile system']",130,12
23,24,Facet-based component retrieval techniques have been proved to be an effective way for retrieving. These Techniques are widely adopted by component library systems but they usually simply list out all the retrieval results without any kind of ranking. In our work we focus on the problem that how to determine the ranks of the components retrieved by user. Factors which can influence the ranking are extracted and identified through the analysis of ER-Diagram of facet-based component library system. In this paper a mathematical model of weighted ranking algorithm is proposed and the timing of ranks calculation is discussed. Experiment results show that this algorithm greatly improves the efficiency of component retrieval system.,"['Weighted ranking algorithm', 'and component library', 'retrieval system', 'facet', 'component retrieval', 'component rank', 'ranking algorithm', 'matching degree', 'component library', 'facet-based component retrieval']",112,10
24,25,The organization of HTML into a tag tree structure which is rendered by browsers as roughly rectangular regions with embedded text and HREF links greatly helps surfers locate and click on links that best satisfy their information need. Can an automatic program emulate this human behavior and thereby learn to predict the relevance of an unseen HREF target page w.r.t. an information need based on information limited to the HREF source page Such a capability would be of great interest in focused crawling and resource discovery because it can fine-tune the priority of unvisited URLs in the crawl frontier and reduce the number of irrelevant pages which are fetched and discarded. We show that there is indeed a great deal of usable information on a HREF source page about the relevance of the target page. This information encoded suitably can be exploited by a supervised apprentice which takes online lessons from a traditional focused crawler by observing a carefully designed set of features and events associated with the crawler. Once the apprentice gets a sufficient number of examples the crawler starts consulting it to better prioritize URLs in the crawl frontier. Experiments on a dozen topics using a 482-topic taxonomy from the Open Directory Dmoz show that online relevance feedback can reduce false positives by 30 to 90%.,"['classifiers', 'HREF link', 'focused crawlers', 'Document object model', 'URLs', 'Focused crawling', 'taxonomy', 'Reinforcement learning', 'DOM']",218,9
25,26,Many volume filtering operations used for image enhancement data processing or feature detection can be written in terms of three-dimensional convolutions. It is not possible to yield interactive frame rates on todays hardware when applying such convolutions on volume data using software filter routines. As modern graphics workstations have the ability to render two-dimensional convoluted images to the frame buffer this feature can be used to accelerate the process significantly. This way generic 3D convolution can be added as a powerful tool in interactive volume visualization toolkits.,"['3D convolution', 'Hardware Acceleration', 'Volume Visualization', 'volume rendering', 'visualization', 'filtering', 'Convolution']",87,7
26,27,"As today the amount of accessible information is overwhelming the intelligent and personalized filtering of available information is a main challenge. Additionally there is a growing need for the seamless mobile and multi-modal system usage throughout the whole day to meet the requirements of the modern society anytime anywhere anyhow""). A personal information agent that is delivering the right information at the right time by accessing filtering and presenting information in a situation-aware matter is needed. Applying Agent-technology is promising because the inherent capabilities of agents like autonomy pro and reactiveness offer an adequate approach. We developed an agent-based personal information system called PIA for collecting filtering and integrating information at a common point offering access to the information by WWW e-mail SMS MMS and J2ME clients. Push and pull techniques are combined allowing the user to search explicitly for specific information on the one hand and to be informed automatically about relevant information divided in pre work and recreation slots on the other hand. In the core of the PIA system advanced filtering techniques are deployed through multiple filtering agent communities for content-based and collaborative filtering. Information-extracting agents are constantly gathering new relevant information from a variety of selected sources internet files databases web-services etc.). A personal agent for each user is managing the individual information provisioning tailored to the needs of this specific user knowing the profile the current situation and learning from feedback.","['Ubiquitous access', 'Adaptation and Learning', 'personal information agent', 'agent technology', 'Recommendation systems', 'Intelligent and personalized filtering', 'filtering', 'Agent-based deployed applications', 'Evolution', 'Agents and complex systems']",236,10
27,28,In this paper we present a multilingual information retrieval system that provides access to Tourism information by exploiting the intuitiveness of natural language. In particular we describe the knowledge representation model underlying the information retrieval system. This knowledge representation approach is based on associative networks and allows the definition of semantic relationships between domain-intrinsic information items. The network structure is used to define weighted associations between information items and augments the system with a fuzzy search strategy. This particular search strategy is performed by a constrained spreading activation algorithm that implements information retrieval on associative networks. Strictly speaking we take the relatedness of terms into account and show how this fuzzy search strategy yields beneficial results and moreover determines highly associated matches to users queries. Thus the combination of the associative network and the constrained spreading activation approach constitutes a search algorithm that evaluates the relatedness of terms and therefore provides a means for implicit query expansion.,"['multilingual information retrieval system', 'spreading activation', 'knowledge representation model', 'constrained spreading activation', 'knowledge representation', 'natural language information retrieval', 'query expansion', 'natural language query', 'associative networks']",157,9
